Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,1603.808076,858.97,"1,273.29","1,268.57",607.22K,1.05%
6/3/2024,1614.372578,861.59,"1,284.33","1,281.27",587.23K,0.29%
6/4/2024,1613.565579,868.97,"1,294.16","1,280.44",591.09K,-0.27%
6/5/2024,1628.590061,879.23,"1,295.63","1,286.01",573.63K,0.30%
6/6/2024,1627.095321,876.73,"1,277.33","1,283.32",572.55K,1.15%
6/7/2024,1638.963218,883.22,"1,288.35","1,276.37",473.81K,0.64%
6/10/2024,1650.362892,883.4,"1,281.17","1,281.95",589.89K,0.96%
6/11/2024,1633.297218,888.7,"1,293.60","1,260.92",670.87K,0.11%
6/12/2024,1634.293967,902.26,"1,311.97","1,291.35",584.57K,-0.74%
6/13/2024,1618.579756,898.78,"1,322.35","1,300.85",465.66K,0.56%
6/14/2024,1602.715796,900.48,"1,332.44","1,284.08",603.29K,0.77%
6/17/2024,1618.084816,841.85,"1,340.76","1,226.01",733.45K,0.58%
6/18/2024,1606.323261,867.52,"1,368.53","1,211.13",560.89K,-0.45%
6/19/2024,1611.875613,848.86,"1,372.72","1,195.19",688.12K,-0.04%
6/20/2024,1614.403736,861.05,"1,370.14","1,213.93",561.69K,-0.16%
6/21/2024,1599.830367,850.92,"1,364.55","1,191.92",738.58K,-0.88%
6/24/2024,1600.367731,857.77,"1,377.77","1,180.40",669.55K,0.57%
6/25/2024,1582.350509,871.56,"1,381.74","1,162.94",694.93K,0.61%
6/26/2024,1587.267192,871.12,"1,385.98","1,162.98",592.48K,0.61%
6/27/2024,1591.531382,868.2,"1,388.33","1,162.06",440.78K,0.36%
6/28/2024,1616.175893,851.09,"1,384.71","1,185.48",478.69K,0.23%
7/1/2024,1615.825069,859.07,"1,390.12","1,185.48",526.96K,0.20%
7/2/2024,1649.864133,846.26,"1,406.02","1,198.99",588.39K,0.35%
7/3/2024,1672.784316,836.72,"1,416.34","1,207.38",560.59K,-1.14%
7/4/2024,1675.664661,827.67,"1,419.61","1,197.60",510.22K,-0.46%
7/5/2024,1641.987074,845.66,"1,417.27","1,170.95",534.07K,0.47%
7/8/2024,1664.788721,845.26,"1,424.28","1,192.63",442.82K,0.58%
7/9/2024,1649.151194,851.47,"1,421.52","1,181.29",612.00K,0.23%
7/10/2024,1613.43224,865.46,"1,418.99","1,147.63",556.46K,-0.74%
7/11/2024,1582.829487,861.75,"1,388.55","1,142.80",411.79K,1.05%
7/12/2024,1593.525806,867.66,"1,388.55","1,164.23",476.37K,0.96%
7/15/2024,1561.46451,873.7,"1,374.68","1,144.55",538.71K,0.24%
7/16/2024,1539.608273,874.85,"1,347.14","1,153.55",525.11K,0.21%
7/17/2024,1519.293837,865.01,"1,307.73","1,170.92",564.00K,0.97%
7/18/2024,1510.993693,872.8,"1,305.37","1,170.04",534.74K,0.26%
7/19/2024,1510.951103,871.81,"1,299.18","1,178.12",604.01K,0.40%
7/22/2024,1512.834195,873.48,"1,304.37","1,174.70",523.73K,0.08%
7/23/2024,1505.72299,870.66,"1,299.31","1,168.99",532.69K,-0.09%
7/24/2024,1490.657079,863.94,"1,273.29","1,178.33",648.00K,-0.01%
7/25/2024,1513.958986,862.8,"1,284.33","1,194.14",530.31K,1.12%
7/26/2024,1529.863783,854.92,"1,294.16","1,194.76",477.95K,0.41%
7/29/2024,1524.619447,854.23,"1,295.63","1,184.32",437.85K,0.44%
7/30/2024,1548.419759,794.14,"1,277.33","1,184.44",434.80K,0.41%
7/31/2024,1560.418332,786.72,"1,288.35","1,178.58",445.14K,-0.29%
8/1/2024,1551.694144,800.39,"1,281.17","1,191.04",668.86K,0.86%
8/2/2024,1577.991465,796.22,"1,293.60","1,206.33",590.32K,1.26%
8/5/2024,1601.75479,787.78,"1,311.97","1,206.33",708.71K,-0.44%
8/6/2024,1558.615163,796.86,"1,322.35","1,224.11",817.69K,0.24%
8/7/2024,1551.93461,822.86,"1,332.44","1,232.41",789.52K,-0.78%
8/8/2024,1563.4634,827.54,"1,340.76","1,247.38",724.75K,1.24%
